Expert 0 Training - 2026-03-23 21:18:13
Architecture: 17→128→64→6 (enhanced)
Optimizer: Adam (lr=5e-05, weight_decay=1e-06)
Max epochs: 150, Early stop patience: 20
Training samples (Cluster 0): 265,715
====================================================================================================

Epoch 89/150 | Train Loss: 0.077333 | Val Loss: 0.048421
Epoch 90/150 | Train Loss: 0.076931 | Val Loss: 0.048657
Epoch 91/150 | Train Loss: 0.076355 | Val Loss: 0.049061
Epoch 92/150 | Train Loss: 0.076807 | Val Loss: 0.048817
Epoch 93/150 | Train Loss: 0.076302 | Val Loss: 0.048541
Epoch 94/150 | Train Loss: 0.076601 | Val Loss: 0.048736
Epoch 95/150 | Train Loss: 0.076273 | Val Loss: 0.048622
Epoch 96/150 | Train Loss: 0.076160 | Val Loss: 0.048539
Epoch 97/150 | Train Loss: 0.075956 | Val Loss: 0.048300
Epoch 98/150 | Train Loss: 0.076374 | Val Loss: 0.047919
Epoch 99/150 | Train Loss: 0.076149 | Val Loss: 0.048253
Epoch 100/150 | Train Loss: 0.075900 | Val Loss: 0.047968
Epoch 101/150 | Train Loss: 0.076209 | Val Loss: 0.048016
Epoch 102/150 | Train Loss: 0.076004 | Val Loss: 0.048051
Epoch 103/150 | Train Loss: 0.075841 | Val Loss: 0.047908
Epoch 104/150 | Train Loss: 0.075811 | Val Loss: 0.048008
Epoch 105/150 | Train Loss: 0.075692 | Val Loss: 0.048427
Epoch 106/150 | Train Loss: 0.075615 | Val Loss: 0.048225
Epoch 107/150 | Train Loss: 0.076245 | Val Loss: 0.047894
Epoch 108/150 | Train Loss: 0.075996 | Val Loss: 0.047641
Epoch 109/150 | Train Loss: 0.076168 | Val Loss: 0.048017
Epoch 110/150 | Train Loss: 0.075524 | Val Loss: 0.047623
Epoch 111/150 | Train Loss: 0.075355 | Val Loss: 0.047823
Epoch 112/150 | Train Loss: 0.075333 | Val Loss: 0.047948
Epoch 113/150 | Train Loss: 0.075419 | Val Loss: 0.047716
Epoch 114/150 | Train Loss: 0.075741 | Val Loss: 0.047539
Epoch 115/150 | Train Loss: 0.075156 | Val Loss: 0.047712
Epoch 116/150 | Train Loss: 0.075463 | Val Loss: 0.047637
Epoch 117/150 | Train Loss: 0.075399 | Val Loss: 0.048399
Epoch 118/150 | Train Loss: 0.075458 | Val Loss: 0.047442
Epoch 119/150 | Train Loss: 0.075288 | Val Loss: 0.047766
Epoch 120/150 | Train Loss: 0.075460 | Val Loss: 0.047604
Epoch 121/150 | Train Loss: 0.075289 | Val Loss: 0.047271
Epoch 122/150 | Train Loss: 0.074997 | Val Loss: 0.047568
Epoch 123/150 | Train Loss: 0.075185 | Val Loss: 0.047429
Epoch 124/150 | Train Loss: 0.075031 | Val Loss: 0.047838
Epoch 125/150 | Train Loss: 0.074762 | Val Loss: 0.047316
Epoch 126/150 | Train Loss: 0.075212 | Val Loss: 0.047290
Epoch 127/150 | Train Loss: 0.075134 | Val Loss: 0.047027
Epoch 128/150 | Train Loss: 0.074870 | Val Loss: 0.047268
Epoch 129/150 | Train Loss: 0.074679 | Val Loss: 0.046924
Epoch 130/150 | Train Loss: 0.074417 | Val Loss: 0.047303
Epoch 131/150 | Train Loss: 0.074953 | Val Loss: 0.046870
Epoch 132/150 | Train Loss: 0.074875 | Val Loss: 0.047542
Epoch 133/150 | Train Loss: 0.074587 | Val Loss: 0.047018
Epoch 134/150 | Train Loss: 0.074383 | Val Loss: 0.046816
Epoch 135/150 | Train Loss: 0.074268 | Val Loss: 0.047093
Epoch 136/150 | Train Loss: 0.074786 | Val Loss: 0.046924
Epoch 137/150 | Train Loss: 0.074376 | Val Loss: 0.046708
Epoch 138/150 | Train Loss: 0.074158 | Val Loss: 0.046797
Epoch 139/150 | Train Loss: 0.074176 | Val Loss: 0.046692
Epoch 140/150 | Train Loss: 0.074054 | Val Loss: 0.046839
Epoch 141/150 | Train Loss: 0.074509 | Val Loss: 0.046700
Epoch 142/150 | Train Loss: 0.074038 | Val Loss: 0.046732
Epoch 143/150 | Train Loss: 0.074488 | Val Loss: 0.046714
Epoch 144/150 | Train Loss: 0.074204 | Val Loss: 0.046806
Epoch 145/150 | Train Loss: 0.074151 | Val Loss: 0.046547
Epoch 146/150 | Train Loss: 0.074330 | Val Loss: 0.046597
Epoch 147/150 | Train Loss: 0.074036 | Val Loss: 0.046712
Epoch 148/150 | Train Loss: 0.074428 | Val Loss: 0.046510
Epoch 149/150 | Train Loss: 0.073934 | Val Loss: 0.046458
Epoch 150/150 | Train Loss: 0.073496 | Val Loss: 0.046638

Test Loss (Cluster 0): 0.042376
✓ Loss curve saved: expert0_loss_curve.png
